ISO3,country,degree_centrality,in_degree_centrality,out_degree_centrality,betweenness,betweenness_weighted,strength_out,strength_in
LBN,Lebanon,0.5707964601769911,0.2168141592920354,0.35398230088495575,0.006155362017116527,0.0,38114.738882569996,268993.85499856004
LBY,Libya,0.12389380530973451,0.11061946902654868,0.01327433628318584,0.0002498332661206814,0.008692232055063913,3266.852988,185357.6769651
LKA,Sri Lanka,0.4424778761061947,0.16814159292035397,0.2743362831858407,0.006048540162534952,0.0,27107.228744475,442603.41750780004
MAR,Morocco,0.24336283185840707,0.14601769911504425,0.09734513274336283,0.0004417660092028219,0.008574237954768929,3340.798753,137070.44596425
MDG,Madagascar,0.15486725663716813,0.11504424778761062,0.03982300884955752,0.00015508509535875397,0.0,71.09733792,923102.9189375399
MDV,Maldives,0.23008849557522124,0.22123893805309736,0.008849557522123894,0.0009417604457627976,0.0043461160275319564,12.194975,97456.15640006
MLI,Mali,0.14601769911504425,0.1327433628318584,0.01327433628318584,0.0003333224105326359,0.0,0.120666,73425.640634
MMR,Myanmar,0.43805309734513276,0.04424778761061947,0.3938053097345133,0.0002990660344422596,0.0009636184857423795,1623679.77791302,11843.471238
MOZ,Mozambique,0.2654867256637168,0.10176991150442477,0.16371681415929204,0.0024099547875719124,0.07091445427728614,48792.9613053,1307125.3386966
MRT,Mauritania,0.08849557522123894,0.08849557522123894,0.0,0.0,0.0,0.0,46147.259242
MUS,Mauritius,0.19911504424778761,0.13716814159292035,0.061946902654867256,0.0005498730153422492,0.0,1133.04270021,211125.762696485
MWI,Malawi,0.2345132743362832,0.11946902654867256,0.11504424778761062,0.0021038935594799198,0.0,1443.7416785359999,11308.741357104
MYS,Malaysia,0.3938053097345133,0.1504424778761062,0.24336283185840707,0.0018566743092119672,0.0003736479842674533,105580.45471846999,2684306.6396407997
NER,Niger,0.1415929203539823,0.12831858407079647,0.01327433628318584,0.00011893278066458069,0.004326450344149459,24.425760999999998,1147282.429566
NGA,Nigeria,0.28761061946902655,0.16371681415929204,0.12389380530973451,0.002615459291702828,0.049891838741396265,172.3049705,47184.602993706
OMN,Oman,0.3274336283185841,0.1415929203539823,0.18584070796460178,0.0024873638601672307,0.0043461160275319564,22174.04725,1069724.59137004
PAK,Pakistan,0.8053097345132744,0.12389380530973451,0.6814159292035398,0.006394243455431367,0.025408062930186825,8645675.6216669,8908.409426
PHL,Philippines,0.3141592920353982,0.1327433628318584,0.18141592920353983,0.0006598140386420295,0.0,2037.07063097,5057688.87496991
POL,Poland,0.5398230088495575,0.23893805309734512,0.3008849557522124,0.0033534116822918794,0.017168141592920353,186891.88725691,386704.1872909
PRT,Portugal,0.6814159292035398,0.22123893805309736,0.46017699115044247,0.007883206980888012,0.0038938053097345134,271761.872031387,196868.024640007
QAT,Qatar,0.23008849557522124,0.17256637168141592,0.05752212389380531,0.00039677428878371083,0.0,430.942777,747309.1959330001
ROU,Romania,0.37610619469026546,0.17699115044247787,0.19911504424778761,0.004388342281717231,0.06116027531956735,58021.64287069,126337.43337408
RUS,Russian Federation,0.5619469026548672,0.22123893805309736,0.3407079646017699,0.008327684714565825,0.053903638151425765,208527.0524097162,458276.77539230004
SDN,Sudan,0.11504424778761062,0.10619469026548672,0.008849557522123894,3.231778061108514e-05,0.0043461160275319564,1804.25386,173755.039672
SEN,Senegal,0.16371681415929204,0.11504424778761062,0.048672566371681415,0.0006469643721936596,0.005034414945919371,27080.295003,262396.71352817
SGP,Singapore,0.5265486725663717,0.2079646017699115,0.3185840707964602,0.010837975372221247,0.08119960668633235,309968.16786462,1135337.1792068
SLE,Sierra Leone,0.12389380530973451,0.11946902654867256,0.004424778761061947,1.6843625328393838e-05,0.0,20.004089999999998,415773.1292069
SOM,Somalia,0.0752212389380531,0.07079646017699115,0.004424778761061947,6.947694559057936e-05,0.0,0.00316,985185.359195
SRB,Serbia,0.2654867256637168,0.16814159292035397,0.09734513274336283,0.001407510438910959,0.013018682399213373,1068.88961706,45269.672855
